index,x,y,z
0,-0.181000,-0.015000,0.360000
1,0.181000,-0.015000,0.360000
2,-0.181000,-0.015000,0.050000
3,0.181000,-0.015000,0.050000
4,-0.279000,0.276000,0.242000
5,0.279000,0.276000,0.242000
6,-0.275000,0.484000,0.045000
7,0.275000,0.484000,0.045000
8,-0.272000,0.553000,0.277000
9,0.272000,0.553000,0.277000
10,-0.212000,0.550000,0.536000
11,0.212000,0.550000,0.536000
12,-0.290000,1.372000,0.236000
13,0.290000,1.372000,0.236000
14,-0.272000,1.336000,-0.000000
15,0.272000,1.336000,-0.000000
16,-0.267000,1.506000,0.026000
17,0.267000,1.506000,0.026000
18,-0.303000,1.669000,0.237000
19,0.303000,1.669000,0.237000
20,-0.270000,1.667000,0.028000
21,0.270000,1.667000,0.028000
22,-0.276000,1.821000,0.069000
23,0.276000,1.821000,0.069000
24,-0.182000,2.012000,0.285000
25,0.182000,2.012000,0.285000
26,-0.182000,2.012000,0.061000
27,0.182000,2.012000,0.061000
28,-0.172000,1.400000,0.963000
29,0.172000,1.400000,0.963000
30,-0.290000,1.951000,0.250000
31,0.290000,1.951000,0.250000
32,-0.260000,0.270000,0.046000
33,0.260000,0.270000,0.046000
34,0.000000,1.410000,1.090000
35,0.000000,0.570000,0.550000
